data;temperatura
2020/01/01;26,3
2020/01/01;26,5
2020/01/01;26,2
2020/01/01;26,2
2020/01/01;25,4
2020/01/01;25,4
2020/01/01;25,7
2020/01/01;25,6
2020/01/01;25,7
2020/01/01;25,7
2020/01/01;25,9
2020/01/01;26,3
2020/01/01;27,3
2020/01/01;29,7
2020/01/01;30
2020/01/01;32,4
2020/01/01;31,8
2020/01/01;27,9
2020/01/01;27,3
2020/01/01;25,6
2020/01/01;26,6
2020/01/01;25,6
2020/01/01;24,9
2020/01/01;24,5
2020/01/02;24,1
2020/01/02;24,3
2020/01/02;25,1
2020/01/02;24,4
2020/01/02;23,4
2020/01/02;23,5
2020/01/02;23,7
2020/01/02;23,9
2020/01/02;23,6
2020/01/02;24,1
2020/01/02;24,4
2020/01/02;24,8
2020/01/02;25,4
2020/01/02;25,5
2020/01/02;26,4
2020/01/02;26,2
2020/01/02;28,7
2020/01/02;25,9
2020/01/02;27,2
2020/01/02;25,7
2020/01/02;25,4
2020/01/02;24,7
2020/01/02;24
2020/01/02;23,7
2020/01/03;23,3
2020/01/03;23,3
2020/01/03;23,3
2020/01/03;23,6
2020/01/03;22,7
2020/01/03;22,1
2020/01/03;22
2020/01/03;22,4
2020/01/03;22,5
2020/01/03;22,5
2020/01/03;24,1
2020/01/03;23,9
2020/01/03;24,7
2020/01/03;24
2020/01/03;24,5
2020/01/03;25,9
2020/01/03;25,8
2020/01/03;25,9
2020/01/03;26,3
2020/01/03;25,1
2020/01/03;23,8
2020/01/03;23,8
2020/01/03;22,5
2020/01/03;23,6
2020/01/04;23,3
2020/01/04;23,8
2020/01/04;24,1
2020/01/04;24
2020/01/04;24
2020/01/04;23,6
2020/01/04;23
2020/01/04;23,2
2020/01/04;23,2
2020/01/04;23,4
2020/01/04;24,3
2020/01/04;24,6
2020/01/04;24,8
2020/01/04;25,6
2020/01/04;25,9
2020/01/04;25,7
2020/01/04;24,9
2020/01/04;26,3
2020/01/04;25,7
2020/01/04;25,7
2020/01/04;25,7
2020/01/04;24,4
2020/01/04;23,6
2020/01/04;24,3
2020/01/05;24,3
2020/01/05;22,8
2020/01/05;21,6
2020/01/05;21,5
2020/01/05;21,3
2020/01/05;21,1
2020/01/05;21
2020/01/05;20,9
2020/01/05;20,6
2020/01/05;20,6
2020/01/05;22,9
2020/01/05;24,4
2020/01/05;25,2
2020/01/05;26
2020/01/05;26
2020/01/05;26,6
2020/01/05;26,9
2020/01/05;29,6
2020/01/05;27,5
2020/01/05;27,3
2020/01/05;27,4
2020/01/05;26,5
2020/01/05;25,7
2020/01/05;25,4
2020/01/06;25,1
2020/01/06;24,4
2020/01/06;24,1
2020/01/06;23,2
2020/01/06;22,6
2020/01/06;22,1
2020/01/06;22
2020/01/06;21,8
2020/01/06;21,6
2020/01/06;21,9
2020/01/06;22,9
2020/01/06;24,4
2020/01/06;25,8
2020/01/06;28,3
2020/01/06;29,2
2020/01/06;30,3
2020/01/06;30,7
2020/01/06;30,3
2020/01/06;30,7
2020/01/06;29,4
2020/01/06;28,5
2020/01/06;27,8
2020/01/06;26,8
2020/01/06;26,7
2020/01/07;26,2
